# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
# T (MeV)           dP_int/dT (e^2)      dP_int/dT (e^3)      
2.679058E+01        -1.224374E+02        1.090710E+01        
2.676652E+01        -1.221076E+02        1.087774E+01        
2.674247E+01        -1.217788E+02        1.084845E+01        
2.671845E+01        -1.214508E+02        1.081924E+01        
2.669445E+01        -1.211237E+02        1.079010E+01        
2.667047E+01        -1.207975E+02        1.076105E+01        
2.664651E+01        -1.204722E+02        1.073208E+01        
2.662257E+01        -1.201478E+02        1.070318E+01        
2.659866E+01        -1.198242E+02        1.067436E+01        
2.657476E+01        -1.195015E+02        1.064562E+01        
2.655089E+01        -1.191797E+02        1.061695E+01        
2.652704E+01        -1.188587E+02        1.058836E+01        
2.650321E+01        -1.185386E+02        1.055985E+01        
2.647940E+01        -1.182194E+02        1.053142E+01        
2.645561E+01        -1.179010E+02        1.050306E+01        
2.643185E+01        -1.175834E+02        1.047478E+01        
2.640810E+01        -1.172668E+02        1.044658E+01        
2.638438E+01        -1.169510E+02        1.041845E+01        
2.636068E+01        -1.166360E+02        1.039040E+01        
2.633700E+01        -1.163219E+02        1.036242E+01        
2.631334E+01        -1.160086E+02        1.033452E+01        
2.628970E+01        -1.156962E+02        1.030669E+01        
2.626609E+01        -1.153846E+02        1.027894E+01        
2.624249E+01        -1.150738E+02        1.025126E+01        
2.621892E+01        -1.147639E+02        1.022366E+01        
2.619536E+01        -1.144549E+02        1.019613E+01        
2.617183E+01        -1.141466E+02        1.016868E+01        
2.614832E+01        -1.138392E+02        1.014130E+01        
2.612483E+01        -1.135326E+02        1.011399E+01        
2.610136E+01        -1.132269E+02        1.008676E+01        
2.607792E+01        -1.129219E+02        1.005960E+01        
2.605449E+01        -1.126178E+02        1.003251E+01        
2.603109E+01        -1.123145E+02        1.000550E+01        
2.600770E+01        -1.120120E+02        9.978558E+00        
2.598434E+01        -1.117104E+02        9.951689E+00        
2.596100E+01        -1.114095E+02        9.924893E+00        
2.593768E+01        -1.111095E+02        9.898169E+00        
2.591438E+01        -1.108102E+02        9.871518E+00        
2.589110E+01        -1.105118E+02        9.844937E+00        
2.586784E+01        -1.102142E+02        9.818429E+00        
2.584460E+01        -1.099173E+02        9.791992E+00        
2.582138E+01        -1.096213E+02        9.765626E+00        
2.579819E+01        -1.093261E+02        9.739331E+00        
2.577501E+01        -1.090317E+02        9.713107E+00        
2.575186E+01        -1.087380E+02        9.686953E+00        
2.572873E+01        -1.084452E+02        9.660870E+00        
2.570561E+01        -1.081531E+02        9.634857E+00        
2.568252E+01        -1.078618E+02        9.608914E+00        
2.565945E+01        -1.075713E+02        9.583041E+00        
2.563640E+01        -1.072816E+02        9.557237E+00        
2.561337E+01        -1.069927E+02        9.531504E+00        
2.559036E+01        -1.067045E+02        9.505839E+00        
